variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b_Intercept,-6.14,-6.14,0.05,0.05,-6.22,-6.06,1.00,795.12,"1,673.72"
b_y_num,-0.02,-0.02,0.01,0.01,-0.03,-0.01,1.00,"2,411.68","2,841.05"
b_acf_periodb.acf,0.01,0.03,1.00,0.98,-1.63,1.63,1.00,"3,260.26","2,784.10"
b_acf_periodc.postMacf,0.04,0.04,0.11,0.11,-0.14,0.22,1.00,"2,943.70","3,109.87"
b_y_num:acf_periodb.acf,0.08,0.08,0.12,0.12,-0.12,0.29,1.00,"3,280.93","2,724.92"
b_y_num:acf_periodc.postMacf,-0.05,-0.05,0.01,0.01,-0.07,-0.04,1.00,"2,648.63","2,846.86"
sd_ward__Intercept,0.25,0.24,0.03,0.03,0.20,0.31,1.00,"1,040.75","2,022.51"
sd_ward__y_num,0.02,0.02,0.01,0.01,0.01,0.03,1.00,630.58,578.94
sd_ward__acf_periodb.acf,0.06,0.06,0.04,0.05,0.01,0.14,1.00,"1,506.41","1,728.92"
sd_ward__acf_periodc.postMacf,0.12,0.12,0.06,0.07,0.01,0.22,1.00,775.39,"1,330.65"
sd_ward__y_num:acf_periodb.acf,0.01,0.01,0.01,0.01,0.00,0.02,1.00,"1,166.51","1,599.28"
sd_ward__y_num:acf_periodc.postMacf,0.01,0.01,0.01,0.01,0.00,0.02,1.00,520.82,"1,213.32"
cor_ward__Intercept__y_num,-0.45,-0.48,0.19,0.19,-0.72,-0.10,1.00,"1,315.69","1,423.15"
cor_ward__Intercept__acf_periodb.acf,-0.23,-0.26,0.29,0.30,-0.65,0.29,1.00,"2,722.32","2,557.21"
cor_ward__y_num__acf_periodb.acf,-0.04,-0.04,0.27,0.29,-0.47,0.42,1.00,"4,075.15","3,005.84"
cor_ward__Intercept__acf_periodc.postMacf,-0.14,-0.15,0.24,0.25,-0.51,0.28,1.00,"2,895.65","2,380.04"
cor_ward__y_num__acf_periodc.postMacf,0.10,0.10,0.25,0.26,-0.34,0.51,1.00,"2,233.09","2,625.72"
cor_ward__acf_periodb.acf__acf_periodc.postMacf,0.06,0.06,0.27,0.28,-0.39,0.50,1.00,"1,953.21","2,390.55"
cor_ward__Intercept__y_num:acf_periodb.acf,-0.24,-0.27,0.28,0.29,-0.66,0.26,1.00,"2,294.58","2,772.45"
cor_ward__y_num__y_num:acf_periodb.acf,-0.04,-0.05,0.26,0.28,-0.47,0.40,1.00,"5,056.82","3,046.54"
cor_ward__acf_periodb.acf__y_num:acf_periodb.acf,-0.05,-0.06,0.29,0.30,-0.52,0.43,1.00,"4,064.10","3,022.18"
cor_ward__acf_periodc.postMacf__y_num:acf_periodb.acf,0.07,0.08,0.27,0.29,-0.40,0.51,1.00,"3,179.08","3,431.07"
cor_ward__Intercept__y_num:acf_periodc.postMacf,-0.02,-0.02,0.26,0.27,-0.45,0.42,1.00,"3,955.37","2,978.97"
cor_ward__y_num__y_num:acf_periodc.postMacf,-0.03,-0.04,0.28,0.29,-0.49,0.45,1.00,"2,265.07","3,079.26"
cor_ward__acf_periodb.acf__y_num:acf_periodc.postMacf,0.05,0.06,0.28,0.29,-0.41,0.49,1.00,"2,269.34","2,896.91"
cor_ward__acf_periodc.postMacf__y_num:acf_periodc.postMacf,-0.08,-0.09,0.29,0.31,-0.55,0.41,1.00,"2,519.68","2,894.51"
cor_ward__y_num:acf_periodb.acf__y_num:acf_periodc.postMacf,0.06,0.08,0.28,0.29,-0.41,0.51,1.00,"1,895.36","2,832.87"
shape,92.15,89.02,20.99,18.64,64.22,129.69,1.00,"2,682.41","2,250.22"
"r_ward[Anderston,Intercept]",0.18,0.18,0.09,0.09,0.03,0.33,1.00,"2,031.85","2,728.19"
"r_ward[Calton,Intercept]",0.27,0.27,0.09,0.09,0.12,0.43,1.00,"2,122.36","2,932.24"
"r_ward[Camphill,Intercept]",-0.61,-0.61,0.12,0.12,-0.82,-0.42,1.00,"2,495.66","2,900.15"
"r_ward[Cathcart,Intercept]",-0.23,-0.23,0.10,0.10,-0.41,-0.07,1.00,"2,234.84","2,936.04"
"r_ward[Cowcaddens,Intercept]",0.26,0.26,0.09,0.09,0.11,0.41,1.00,"1,649.20","2,798.11"
"r_ward[Cowlairs,Intercept]",-0.05,-0.05,0.10,0.10,-0.21,0.11,1.00,"2,329.41","2,664.60"
"r_ward[Craigton,Intercept]",-0.26,-0.27,0.09,0.09,-0.41,-0.11,1.00,"2,363.01","2,664.21"
"r_ward[Dalmarnock,Intercept]",-0.07,-0.06,0.09,0.09,-0.22,0.08,1.00,"1,963.79","3,021.39"
"r_ward[Dennistoun,Intercept]",-0.15,-0.15,0.10,0.10,-0.31,0.01,1.00,"2,685.41","2,609.28"
"r_ward[Exchange,Intercept]",0.31,0.31,0.10,0.10,0.15,0.48,1.00,"2,233.21","3,161.92"
"r_ward[Fairfield,Intercept]",-0.02,-0.02,0.10,0.10,-0.18,0.15,1.00,"2,145.77","3,058.65"
"r_ward[Gorbals,Intercept]",0.29,0.29,0.09,0.09,0.14,0.44,1.00,"1,668.54","2,724.01"
"r_ward[Govan,Intercept]",-0.01,-0.01,0.09,0.09,-0.17,0.13,1.00,"2,036.54","3,135.05"
"r_ward[Govanhill,Intercept]",-0.31,-0.31,0.10,0.10,-0.48,-0.15,1.00,"2,206.14","2,831.32"
"r_ward[Hutchesontown,Intercept]",0.08,0.08,0.09,0.09,-0.07,0.23,1.00,"2,256.09","3,039.28"
"r_ward[Kelvinside,Intercept]",-0.45,-0.45,0.12,0.11,-0.65,-0.26,1.00,"3,112.55","3,213.58"
"r_ward[Kingston,Intercept]",-0.02,-0.02,0.10,0.10,-0.17,0.14,1.00,"2,057.48","2,848.46"
"r_ward[Kinning.Park,Intercept]",-0.08,-0.08,0.10,0.10,-0.25,0.08,1.00,"2,112.60","2,683.42"
"r_ward[Knightswood,Intercept]",0.16,0.16,0.10,0.10,0.00,0.33,1.00,"1,892.23","2,200.21"
"r_ward[Langside,Intercept]",-0.45,-0.45,0.11,0.12,-0.64,-0.27,1.00,"2,088.53","3,126.73"
"r_ward[Maryhill,Intercept]",-0.04,-0.04,0.10,0.10,-0.21,0.12,1.00,"2,078.49","2,949.05"
"r_ward[Mile-End,Intercept]",0.06,0.06,0.09,0.09,-0.09,0.20,1.00,"2,000.23","2,521.30"
"r_ward[North.Kelvin,Intercept]",-0.27,-0.27,0.10,0.10,-0.44,-0.11,1.00,"2,181.21","3,018.31"
"r_ward[Park,Intercept]",0.03,0.03,0.10,0.10,-0.13,0.19,1.00,"2,453.46","3,018.37"
"r_ward[Parkhead,Intercept]",0.04,0.04,0.10,0.10,-0.12,0.21,1.00,"2,569.21","2,703.42"
"r_ward[Partick.(East),Intercept]",-0.27,-0.26,0.10,0.11,-0.44,-0.10,1.00,"1,856.94","2,958.02"
"r_ward[Partick.(West),Intercept]",-0.01,-0.02,0.10,0.10,-0.17,0.15,1.00,"1,546.65","2,559.69"
"r_ward[Pollokshaws,Intercept]",0.11,0.11,0.09,0.09,-0.04,0.26,1.00,"1,960.41","2,743.37"
