variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"r_ward[Pollokshields,Intercept]",-0.01,-0.01,0.09,0.09,-0.16,0.14,1.00,"1,908.35","2,837.09"
"r_ward[Provan,Intercept]",0.34,0.34,0.10,0.10,0.18,0.50,1.00,"1,689.52","2,665.81"
"r_ward[Ruchill,Intercept]",0.29,0.29,0.09,0.09,0.15,0.45,1.00,"1,365.82","2,542.37"
"r_ward[Shettleston.and.Tollcross,Intercept]",0.08,0.08,0.09,0.09,-0.06,0.23,1.00,"1,828.44","2,748.26"
"r_ward[Springburn,Intercept]",0.24,0.24,0.10,0.10,0.09,0.40,1.00,"1,499.21","2,573.27"
"r_ward[Townhead,Intercept]",0.32,0.31,0.09,0.09,0.17,0.47,1.00,"1,702.01","2,027.59"
"r_ward[Whiteinch,Intercept]",-0.11,-0.11,0.10,0.10,-0.28,0.05,1.00,"2,330.49","2,698.26"
"r_ward[Woodside,Intercept]",0.10,0.10,0.10,0.10,-0.05,0.26,1.00,"2,366.46","2,774.80"
"r_ward[Yoker,Intercept]",-0.03,-0.03,0.10,0.09,-0.19,0.13,1.00,"2,243.21","2,721.36"
"r_ward[Anderston,y_num]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"2,878.91","2,703.69"
"r_ward[Calton,y_num]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"2,717.60","2,968.05"
"r_ward[Camphill,y_num]",0.02,0.02,0.02,0.02,-0.01,0.05,1.00,"1,956.35","2,806.61"
"r_ward[Cathcart,y_num]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"2,791.60","2,822.06"
"r_ward[Cowcaddens,y_num]",-0.01,-0.01,0.01,0.01,-0.04,0.01,1.00,"2,213.78","3,084.36"
"r_ward[Cowlairs,y_num]",0.00,0.00,0.01,0.01,-0.03,0.02,1.00,"3,276.44","3,009.30"
"r_ward[Craigton,y_num]",0.00,0.00,0.01,0.01,-0.02,0.02,1.00,"3,280.73","2,848.03"
"r_ward[Dalmarnock,y_num]",0.01,0.01,0.01,0.01,-0.01,0.04,1.00,"2,199.70","3,245.73"
"r_ward[Dennistoun,y_num]",0.00,0.00,0.01,0.01,-0.02,0.02,1.00,"3,207.40","3,063.60"
"r_ward[Exchange,y_num]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"3,141.68","2,789.06"
"r_ward[Fairfield,y_num]",0.00,0.00,0.01,0.01,-0.02,0.02,1.00,"2,790.21","3,042.66"
"r_ward[Gorbals,y_num]",0.01,0.01,0.01,0.01,-0.01,0.04,1.00,"2,126.69","3,138.06"
"r_ward[Govan,y_num]",0.00,0.00,0.01,0.01,-0.02,0.02,1.00,"3,174.68","3,111.33"
"r_ward[Govanhill,y_num]",0.01,0.01,0.01,0.01,-0.01,0.04,1.00,"2,493.34","2,829.44"
"r_ward[Hutchesontown,y_num]",0.00,0.00,0.01,0.01,-0.02,0.03,1.00,"3,301.63","3,084.91"
"r_ward[Kelvinside,y_num]",0.00,0.00,0.02,0.01,-0.02,0.03,1.00,"3,304.78","3,455.51"
"r_ward[Kingston,y_num]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"2,073.58","2,780.04"
"r_ward[Kinning.Park,y_num]",0.02,0.02,0.01,0.01,0.00,0.04,1.00,"1,892.06","2,772.91"
"r_ward[Knightswood,y_num]",-0.01,-0.01,0.01,0.01,-0.03,0.02,1.00,"1,356.28","2,169.03"
"r_ward[Langside,y_num]",0.02,0.02,0.02,0.02,0.00,0.05,1.00,"1,858.25","2,830.05"
"r_ward[Maryhill,y_num]",-0.01,-0.01,0.01,0.01,-0.03,0.02,1.00,"2,522.67","2,806.28"
"r_ward[Mile-End,y_num]",0.01,0.00,0.01,0.01,-0.01,0.03,1.00,"3,346.12","2,672.90"
"r_ward[North.Kelvin,y_num]",0.01,0.01,0.01,0.01,-0.01,0.04,1.00,"2,043.17","2,814.07"
"r_ward[Park,y_num]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"2,600.42","2,652.88"
"r_ward[Parkhead,y_num]",0.00,0.00,0.01,0.01,-0.02,0.02,1.00,"3,263.34","3,168.90"
"r_ward[Partick.(East),y_num]",0.01,0.01,0.01,0.01,-0.01,0.04,1.00,"2,345.74","2,898.75"
"r_ward[Partick.(West),y_num]",-0.02,-0.02,0.01,0.01,-0.04,0.00,1.00,"1,585.56","2,540.26"
"r_ward[Pollokshaws,y_num]",-0.02,-0.01,0.01,0.01,-0.04,0.00,1.00,"2,268.38","2,893.42"
"r_ward[Pollokshields,y_num]",0.00,0.00,0.01,0.01,-0.03,0.02,1.00,"2,851.07","3,140.27"
"r_ward[Provan,y_num]",-0.02,-0.02,0.01,0.02,-0.05,0.00,1.00,"1,572.09","1,477.71"
"r_ward[Ruchill,y_num]",-0.03,-0.03,0.01,0.01,-0.05,0.00,1.00,"1,083.39",963.82
"r_ward[Shettleston.and.Tollcross,y_num]",-0.01,-0.01,0.01,0.01,-0.03,0.01,1.00,"2,366.53","2,720.50"
"r_ward[Springburn,y_num]",-0.02,-0.02,0.02,0.02,-0.05,0.00,1.00,"1,252.98","2,406.70"
"r_ward[Townhead,y_num]",-0.02,-0.02,0.01,0.01,-0.05,0.00,1.00,"1,532.85","2,290.59"
"r_ward[Whiteinch,y_num]",0.00,0.00,0.01,0.01,-0.03,0.02,1.00,"2,550.46","3,194.12"
"r_ward[Woodside,y_num]",-0.01,0.00,0.01,0.01,-0.03,0.01,1.00,"2,887.60","2,791.92"
"r_ward[Yoker,y_num]",-0.01,-0.01,0.01,0.01,-0.03,0.02,1.00,"2,443.38","2,535.67"
"r_ward[Anderston,acf_periodb.acf]",-0.04,-0.02,0.07,0.05,-0.18,0.05,1.00,"2,741.25","3,080.88"
"r_ward[Calton,acf_periodb.acf]",-0.04,-0.02,0.08,0.05,-0.18,0.06,1.00,"2,326.12","2,978.36"
"r_ward[Camphill,acf_periodb.acf]",0.06,0.03,0.10,0.06,-0.05,0.24,1.00,"2,455.22","3,238.95"
"r_ward[Cathcart,acf_periodb.acf]",0.04,0.02,0.08,0.05,-0.05,0.19,1.00,"2,920.47","3,422.46"
"r_ward[Cowcaddens,acf_periodb.acf]",-0.03,-0.01,0.07,0.04,-0.15,0.07,1.00,"3,714.96","3,111.02"
"r_ward[Cowlairs,acf_periodb.acf]",0.02,0.01,0.06,0.04,-0.07,0.14,1.00,"4,146.66","3,366.26"
"r_ward[Craigton,acf_periodb.acf]",0.03,0.02,0.07,0.05,-0.06,0.16,1.00,"3,481.80","2,864.31"
"r_ward[Dalmarnock,acf_periodb.acf]",0.00,0.00,0.06,0.04,-0.09,0.11,1.00,"4,142.65","3,382.48"
"r_ward[Dennistoun,acf_periodb.acf]",0.02,0.01,0.07,0.04,-0.07,0.15,1.00,"3,318.48","2,963.85"
"r_ward[Exchange,acf_periodb.acf]",-0.05,-0.03,0.09,0.06,-0.23,0.05,1.00,"2,093.22","2,464.82"
"r_ward[Fairfield,acf_periodb.acf]",0.00,0.00,0.06,0.04,-0.11,0.10,1.00,"4,606.47","2,834.51"
"r_ward[Gorbals,acf_periodb.acf]",-0.06,-0.03,0.09,0.06,-0.23,0.04,1.00,"2,230.55","3,162.71"
"r_ward[Govan,acf_periodb.acf]",0.00,0.00,0.06,0.04,-0.11,0.09,1.00,"4,308.62","3,263.37"
"r_ward[Govanhill,acf_periodb.acf]",0.02,0.01,0.07,0.04,-0.08,0.15,1.00,"4,267.49","3,375.26"
"r_ward[Hutchesontown,acf_periodb.acf]",0.00,0.00,0.06,0.04,-0.11,0.10,1.00,"3,652.58","2,642.03"
"r_ward[Kelvinside,acf_periodb.acf]",0.05,0.03,0.09,0.06,-0.05,0.22,1.00,"2,489.59","3,373.87"
"r_ward[Kingston,acf_periodb.acf]",0.01,0.00,0.06,0.04,-0.09,0.12,1.00,"3,685.49","3,470.23"
"r_ward[Kinning.Park,acf_periodb.acf]",0.02,0.01,0.07,0.04,-0.07,0.14,1.00,"3,061.72","2,410.12"
"r_ward[Knightswood,acf_periodb.acf]",-0.01,0.00,0.07,0.04,-0.13,0.09,1.00,"2,834.10","3,203.90"
"r_ward[Langside,acf_periodb.acf]",0.02,0.01,0.07,0.05,-0.08,0.16,1.00,"3,542.26","3,451.32"
"r_ward[Maryhill,acf_periodb.acf]",0.01,0.00,0.06,0.04,-0.08,0.13,1.00,"4,176.49","3,492.00"
"r_ward[Mile-End,acf_periodb.acf]",-0.01,-0.01,0.06,0.04,-0.13,0.08,1.00,"4,198.46","2,871.51"
"r_ward[North.Kelvin,acf_periodb.acf]",0.02,0.01,0.07,0.04,-0.08,0.14,1.00,"3,248.56","2,718.74"
"r_ward[Park,acf_periodb.acf]",-0.01,0.00,0.06,0.04,-0.13,0.08,1.00,"4,066.96","3,256.56"
"r_ward[Parkhead,acf_periodb.acf]",0.00,0.00,0.06,0.04,-0.10,0.11,1.00,"4,268.77","3,533.19"
"r_ward[Partick.(East),acf_periodb.acf]",0.00,0.00,0.07,0.04,-0.11,0.11,1.00,"3,863.18","2,924.86"
"r_ward[Partick.(West),acf_periodb.acf]",0.02,0.01,0.07,0.04,-0.08,0.14,1.00,"4,064.71","3,426.40"
"r_ward[Pollokshaws,acf_periodb.acf]",-0.02,-0.01,0.06,0.04,-0.13,0.07,1.00,"4,015.36","3,373.09"
"r_ward[Pollokshields,acf_periodb.acf]",0.01,0.01,0.06,0.04,-0.08,0.12,1.00,"3,900.02","3,339.37"
"r_ward[Provan,acf_periodb.acf]",0.00,0.00,0.06,0.04,-0.11,0.10,1.00,"3,876.56","2,765.34"
"r_ward[Ruchill,acf_periodb.acf]",-0.02,-0.01,0.07,0.04,-0.14,0.08,1.00,"3,526.86","3,211.26"
"r_ward[Shettleston.and.Tollcross,acf_periodb.acf]",0.00,0.00,0.06,0.04,-0.10,0.09,1.00,"5,081.38","3,156.60"
"r_ward[Springburn,acf_periodb.acf]",-0.03,-0.01,0.07,0.05,-0.17,0.07,1.00,"2,803.23","3,264.13"
"r_ward[Townhead,acf_periodb.acf]",-0.03,-0.01,0.07,0.05,-0.16,0.07,1.00,"3,459.84","3,164.25"
"r_ward[Whiteinch,acf_periodb.acf]",0.03,0.01,0.07,0.05,-0.07,0.16,1.00,"3,443.18","3,142.01"
"r_ward[Woodside,acf_periodb.acf]",-0.01,0.00,0.06,0.04,-0.12,0.09,1.00,"4,042.42","2,703.95"
"r_ward[Yoker,acf_periodb.acf]",0.00,0.00,0.06,0.04,-0.12,0.10,1.00,"2,925.24","3,063.75"
"r_ward[Anderston,acf_periodc.postMacf]",-0.03,-0.02,0.10,0.08,-0.20,0.12,1.00,"3,797.21","3,013.00"
"r_ward[Calton,acf_periodc.postMacf]",0.00,0.00,0.11,0.08,-0.17,0.17,1.00,"4,197.49","2,985.86"
"r_ward[Camphill,acf_periodc.postMacf]",0.13,0.10,0.15,0.14,-0.05,0.40,1.00,"1,778.22","3,196.70"
"r_ward[Cathcart,acf_periodc.postMacf]",0.05,0.03,0.11,0.08,-0.11,0.25,1.00,"3,111.39","3,098.68"
"r_ward[Cowcaddens,acf_periodc.postMacf]",-0.03,-0.01,0.11,0.08,-0.21,0.14,1.00,"4,353.68","3,152.29"
"r_ward[Cowlairs,acf_periodc.postMacf]",-0.01,-0.01,0.10,0.07,-0.18,0.14,1.00,"3,817.86","3,147.37"
"r_ward[Craigton,acf_periodc.postMacf]",-0.01,0.00,0.10,0.07,-0.17,0.16,1.00,"4,022.16","2,852.52"
"r_ward[Dalmarnock,acf_periodc.postMacf]",0.02,0.01,0.10,0.07,-0.13,0.18,1.00,"3,606.73","2,671.82"
"r_ward[Dennistoun,acf_periodc.postMacf]",0.00,0.00,0.10,0.07,-0.17,0.15,1.00,"4,741.18","3,515.33"
"r_ward[Exchange,acf_periodc.postMacf]",0.03,0.02,0.12,0.09,-0.14,0.24,1.00,"2,989.90","2,979.20"
"r_ward[Fairfield,acf_periodc.postMacf]",0.08,0.06,0.11,0.10,-0.07,0.29,1.00,"1,818.85","2,871.12"
"r_ward[Gorbals,acf_periodc.postMacf]",0.08,0.06,0.12,0.10,-0.08,0.29,1.00,"2,062.36","2,845.19"
"r_ward[Govan,acf_periodc.postMacf]",0.01,0.01,0.10,0.07,-0.15,0.18,1.00,"3,862.47","3,020.46"
"r_ward[Govanhill,acf_periodc.postMacf]",0.07,0.05,0.12,0.10,-0.09,0.28,1.00,"2,110.38","2,987.05"
"r_ward[Hutchesontown,acf_periodc.postMacf]",0.03,0.02,0.10,0.08,-0.12,0.20,1.00,"2,958.46","3,063.99"
"r_ward[Kelvinside,acf_periodc.postMacf]",-0.06,-0.04,0.13,0.10,-0.29,0.12,1.00,"2,167.97","2,835.63"
"r_ward[Kingston,acf_periodc.postMacf]",0.06,0.04,0.11,0.09,-0.09,0.27,1.00,"2,212.40","2,907.22"
"r_ward[Kinning.Park,acf_periodc.postMacf]",0.04,0.03,0.11,0.08,-0.11,0.23,1.00,"2,388.18","2,986.11"
"r_ward[Knightswood,acf_periodc.postMacf]",-0.10,-0.08,0.13,0.12,-0.33,0.07,1.00,933.56,"2,181.10"
"r_ward[Langside,acf_periodc.postMacf]",0.07,0.05,0.12,0.10,-0.10,0.28,1.00,"2,312.17","2,941.59"
"r_ward[Maryhill,acf_periodc.postMacf]",-0.03,-0.02,0.10,0.08,-0.21,0.13,1.00,"3,462.25","3,222.94"
"r_ward[Mile-End,acf_periodc.postMacf]",0.00,0.00,0.10,0.07,-0.15,0.16,1.00,"3,432.16","2,743.74"
"r_ward[North.Kelvin,acf_periodc.postMacf]",0.10,0.08,0.12,0.11,-0.06,0.32,1.00,"1,701.75","3,059.68"
"r_ward[Park,acf_periodc.postMacf]",0.05,0.03,0.10,0.08,-0.10,0.24,1.00,"2,477.87","2,711.92"
"r_ward[Parkhead,acf_periodc.postMacf]",-0.04,-0.02,0.10,0.08,-0.22,0.11,1.00,"3,737.96","2,876.69"
"r_ward[Partick.(East),acf_periodc.postMacf]",0.06,0.04,0.11,0.09,-0.09,0.27,1.00,"2,920.60","3,225.08"
"r_ward[Partick.(West),acf_periodc.postMacf]",-0.05,-0.04,0.11,0.09,-0.25,0.11,1.00,"2,519.35","3,524.53"
"r_ward[Pollokshaws,acf_periodc.postMacf]",-0.02,-0.01,0.10,0.07,-0.19,0.12,1.00,"3,637.96","2,979.69"
"r_ward[Pollokshields,acf_periodc.postMacf]",-0.04,-0.02,0.10,0.07,-0.20,0.10,1.00,"3,259.10","3,004.40"
"r_ward[Provan,acf_periodc.postMacf]",-0.08,-0.06,0.11,0.10,-0.29,0.07,1.00,"2,228.18","2,850.54"
"r_ward[Ruchill,acf_periodc.postMacf]",-0.05,-0.03,0.11,0.08,-0.24,0.11,1.00,"3,299.08","2,900.44"
"r_ward[Shettleston.and.Tollcross,acf_periodc.postMacf]",0.02,0.01,0.09,0.07,-0.12,0.19,1.00,"3,413.27","3,082.56"
"r_ward[Springburn,acf_periodc.postMacf]",-0.16,-0.14,0.15,0.16,-0.43,0.02,1.00,"1,034.11","2,581.85"
"r_ward[Townhead,acf_periodc.postMacf]",-0.07,-0.05,0.11,0.09,-0.27,0.08,1.00,"2,078.91","2,913.07"
"r_ward[Whiteinch,acf_periodc.postMacf]",-0.08,-0.06,0.12,0.10,-0.30,0.07,1.00,"1,393.17","2,720.91"
"r_ward[Woodside,acf_periodc.postMacf]",0.03,0.02,0.10,0.07,-0.11,0.21,1.00,"3,049.61","2,763.25"
"r_ward[Yoker,acf_periodc.postMacf]",-0.11,-0.08,0.12,0.12,-0.34,0.05,1.00,"1,278.63","2,750.15"
"r_ward[Anderston,y_num:acf_periodb.acf]",-0.01,0.00,0.01,0.01,-0.02,0.01,1.00,"2,280.46","2,971.82"
"r_ward[Calton,y_num:acf_periodb.acf]",-0.01,0.00,0.01,0.01,-0.02,0.01,1.00,"2,766.85","3,331.93"
"r_ward[Camphill,y_num:acf_periodb.acf]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"2,048.18","2,686.38"
"r_ward[Cathcart,y_num:acf_periodb.acf]",0.01,0.00,0.01,0.01,-0.01,0.03,1.00,"2,409.19","2,861.07"
"r_ward[Cowcaddens,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"2,877.62","3,011.10"
"r_ward[Cowlairs,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,937.48","3,293.46"
"r_ward[Craigton,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,120.28","2,881.49"
"r_ward[Dalmarnock,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"3,667.76","3,311.90"
"r_ward[Dennistoun,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,303.47","3,165.44"
"r_ward[Exchange,y_num:acf_periodb.acf]",-0.01,0.00,0.01,0.01,-0.03,0.01,1.00,"2,421.19","2,975.63"
"r_ward[Fairfield,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"4,195.53","3,201.89"
"r_ward[Gorbals,y_num:acf_periodb.acf]",-0.01,-0.01,0.01,0.01,-0.03,0.01,1.00,"2,258.11","3,049.92"
"r_ward[Govan,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"3,950.75","2,952.19"
"r_ward[Govanhill,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,029.40","3,013.83"
"r_ward[Hutchesontown,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"3,746.59","3,038.61"
"r_ward[Kelvinside,y_num:acf_periodb.acf]",0.01,0.00,0.01,0.01,-0.01,0.03,1.00,"2,320.15","3,333.36"
"r_ward[Kingston,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,308.61","3,234.62"
"r_ward[Kinning.Park,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,600.08","3,028.08"
"r_ward[Knightswood,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"2,863.46","3,358.11"
"r_ward[Langside,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,125.74","3,054.02"
"r_ward[Maryhill,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,767.58","3,515.79"
"r_ward[Mile-End,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,655.83","2,607.57"
"r_ward[North.Kelvin,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,917.86","2,917.37"
"r_ward[Park,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"4,095.31","3,002.49"
"r_ward[Parkhead,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"4,106.20","3,064.60"
"r_ward[Partick.(East),y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"3,539.00","3,059.60"
"r_ward[Partick.(West),y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,527.54","3,377.99"
"r_ward[Pollokshaws,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,322.98","3,445.48"
"r_ward[Pollokshields,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,275.86","3,272.12"
"r_ward[Provan,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"4,061.64","3,161.65"
"r_ward[Ruchill,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,437.67","2,890.88"
"r_ward[Shettleston.and.Tollcross,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"4,249.46","3,058.41"
"r_ward[Springburn,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"2,204.07","2,934.44"
"r_ward[Townhead,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,377.42","3,068.98"
"r_ward[Whiteinch,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,251.80","2,922.55"
"r_ward[Woodside,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,806.79","3,156.46"
