variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"r_ward[Springburn,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"2,941.23","3,360.73"
"r_ward[Townhead,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,279.41","3,104.83"
"r_ward[Whiteinch,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,577.17","3,165.90"
"r_ward[Woodside,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"4,196.84","2,738.94"
"r_ward[Yoker,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"3,589.92","3,193.23"
"r_ward[Anderston,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,630.34","2,850.63"
"r_ward[Calton,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,418.35","2,810.44"
"r_ward[Camphill,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,451.02","2,109.91"
"r_ward[Cathcart,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,015.09","2,818.99"
"r_ward[Cowcaddens,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"4,169.87","2,778.77"
"r_ward[Cowlairs,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,463.22","2,263.51"
"r_ward[Craigton,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,757.51","2,669.83"
"r_ward[Dalmarnock,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,616.33","2,474.39"
"r_ward[Dennistoun,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"4,114.62","2,578.13"
"r_ward[Exchange,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,835.64","2,994.46"
"r_ward[Fairfield,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"1,656.15","2,914.60"
"r_ward[Gorbals,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,806.41","2,656.82"
"r_ward[Govan,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,679.21","2,817.72"
"r_ward[Govanhill,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"1,815.38","2,739.35"
"r_ward[Hutchesontown,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,417.87","2,807.78"
"r_ward[Kelvinside,y_num:acf_periodc.postMacf]",-0.01,0.00,0.01,0.01,-0.03,0.01,1.00,"1,841.15","2,656.18"
"r_ward[Kingston,y_num:acf_periodc.postMacf]",0.01,0.00,0.01,0.01,-0.01,0.02,1.00,"1,759.20","2,099.05"
"r_ward[Kinning.Park,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"1,886.38","2,574.81"
"r_ward[Knightswood,y_num:acf_periodc.postMacf]",-0.01,-0.01,0.01,0.01,-0.04,0.00,1.00,786.28,"2,067.90"
"r_ward[Langside,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,768.02","2,445.53"
"r_ward[Maryhill,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,313.77","2,535.03"
"r_ward[Mile-End,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"4,017.29","2,695.90"
"r_ward[North.Kelvin,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.01,"1,999.08","2,270.44"
"r_ward[Park,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,572.75","2,632.60"
"r_ward[Parkhead,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,385.20","2,783.85"
"r_ward[Partick.(East),y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,900.59","2,687.27"
"r_ward[Partick.(West),y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"2,048.00","2,506.43"
"r_ward[Pollokshaws,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"3,376.29","2,392.47"
"r_ward[Pollokshields,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,380.50","3,002.55"
"r_ward[Provan,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"2,323.38","1,889.93"
"r_ward[Ruchill,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,025.82","2,322.59"
"r_ward[Shettleston.and.Tollcross,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,547.29","2,168.58"
"r_ward[Springburn,y_num:acf_periodc.postMacf]",-0.01,-0.01,0.01,0.01,-0.03,0.01,1.00,"1,164.39","1,551.94"
"r_ward[Townhead,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"2,104.92","2,296.68"
"r_ward[Whiteinch,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"1,959.03","2,925.70"
"r_ward[Woodside,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,752.30","2,500.90"
"r_ward[Yoker,y_num:acf_periodc.postMacf]",-0.01,0.00,0.01,0.01,-0.03,0.01,1.00,"1,493.14","2,180.12"
lprior,-39.38,-39.17,2.59,2.54,-43.97,-35.55,1.00,"2,270.42","2,983.80"
lp__,"-2,173.99","-2,173.83",14.29,13.97,"-2,197.70","-2,150.46",1.00,971.18,"1,771.96"
