variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"r_ward[North.Kelvin,Intercept]",-0.27,-0.27,0.10,0.10,-0.44,-0.11,1.00,"1,830.40","3,080.89"
"r_ward[Park,Intercept]",0.03,0.03,0.10,0.10,-0.14,0.18,1.00,"2,346.90","3,385.98"
"r_ward[Parkhead,Intercept]",0.04,0.04,0.10,0.10,-0.13,0.20,1.00,"2,181.70","2,820.85"
"r_ward[Partick.(East),Intercept]",-0.27,-0.27,0.10,0.11,-0.45,-0.11,1.00,"1,891.65","3,013.21"
"r_ward[Partick.(West),Intercept]",-0.02,-0.02,0.10,0.10,-0.18,0.14,1.00,"2,052.21","2,727.28"
"r_ward[Pollokshaws,Intercept]",0.10,0.10,0.09,0.09,-0.04,0.25,1.00,"2,085.51","2,735.68"
"r_ward[Pollokshields,Intercept]",-0.02,-0.02,0.09,0.09,-0.16,0.13,1.00,"1,890.02","2,797.13"
"r_ward[Provan,Intercept]",0.33,0.33,0.10,0.10,0.17,0.50,1.00,"1,711.81","2,120.75"
"r_ward[Ruchill,Intercept]",0.29,0.29,0.09,0.09,0.15,0.44,1.00,"1,468.53","2,239.12"
"r_ward[Shettleston.and.Tollcross,Intercept]",0.08,0.07,0.09,0.09,-0.06,0.22,1.00,"2,231.58","3,042.72"
"r_ward[Springburn,Intercept]",0.24,0.24,0.10,0.10,0.09,0.40,1.00,"1,633.76","2,264.71"
"r_ward[Townhead,Intercept]",0.31,0.31,0.09,0.09,0.16,0.47,1.00,"1,917.75","2,880.29"
"r_ward[Whiteinch,Intercept]",-0.12,-0.11,0.10,0.10,-0.28,0.05,1.00,"2,690.72","2,999.32"
"r_ward[Woodside,Intercept]",0.10,0.10,0.09,0.10,-0.05,0.26,1.00,"2,275.91","2,788.97"
"r_ward[Yoker,Intercept]",-0.04,-0.04,0.10,0.10,-0.20,0.12,1.00,"2,169.64","2,810.23"
"r_ward[Anderston,y_num]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"2,617.94","2,841.25"
"r_ward[Calton,y_num]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"3,220.00","3,419.37"
"r_ward[Camphill,y_num]",0.02,0.02,0.02,0.02,-0.01,0.05,1.00,"1,677.05","2,781.06"
"r_ward[Cathcart,y_num]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"2,805.35","3,074.09"
"r_ward[Cowcaddens,y_num]",-0.01,-0.01,0.01,0.01,-0.04,0.01,1.00,"2,758.65","2,779.75"
"r_ward[Cowlairs,y_num]",0.00,0.00,0.01,0.01,-0.03,0.02,1.00,"3,051.97","2,835.86"
"r_ward[Craigton,y_num]",0.00,0.00,0.01,0.01,-0.02,0.02,1.00,"4,063.60","3,325.39"
"r_ward[Dalmarnock,y_num]",0.01,0.01,0.01,0.01,-0.01,0.04,1.00,"2,223.52","3,004.10"
"r_ward[Dennistoun,y_num]",0.00,0.00,0.01,0.01,-0.02,0.02,1.00,"3,842.95","3,153.00"
"r_ward[Exchange,y_num]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"2,574.66","2,697.75"
"r_ward[Fairfield,y_num]",0.00,0.00,0.01,0.01,-0.02,0.02,1.00,"2,787.31","2,893.80"
"r_ward[Gorbals,y_num]",0.01,0.01,0.01,0.01,-0.01,0.04,1.00,"2,548.64","3,452.95"
"r_ward[Govan,y_num]",0.00,0.00,0.01,0.01,-0.02,0.02,1.00,"3,570.09","2,904.37"
"r_ward[Govanhill,y_num]",0.01,0.01,0.01,0.01,-0.01,0.04,1.00,"2,196.91","3,337.97"
"r_ward[Hutchesontown,y_num]",0.00,0.00,0.01,0.01,-0.02,0.03,1.00,"3,089.82","2,863.64"
"r_ward[Kelvinside,y_num]",0.00,0.00,0.02,0.02,-0.02,0.03,1.00,"3,473.60","2,945.49"
"r_ward[Kingston,y_num]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"2,023.14","2,987.06"
"r_ward[Kinning.Park,y_num]",0.02,0.02,0.01,0.01,0.00,0.04,1.00,"1,800.06","2,557.44"
"r_ward[Knightswood,y_num]",-0.01,-0.01,0.01,0.01,-0.03,0.02,1.00,"1,665.24","2,516.21"
"r_ward[Langside,y_num]",0.02,0.02,0.02,0.02,0.00,0.05,1.00,"1,235.89","1,665.82"
"r_ward[Maryhill,y_num]",-0.01,-0.01,0.01,0.01,-0.03,0.01,1.00,"2,911.11","2,789.23"
"r_ward[Mile-End,y_num]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"3,187.48","2,948.87"
"r_ward[North.Kelvin,y_num]",0.01,0.01,0.01,0.01,-0.01,0.04,1.00,"1,745.22","2,637.57"
"r_ward[Park,y_num]",0.01,0.01,0.01,0.01,-0.01,0.04,1.00,"2,380.63","3,342.92"
"r_ward[Parkhead,y_num]",0.00,0.00,0.01,0.01,-0.02,0.02,1.00,"3,179.02","3,058.15"
"r_ward[Partick.(East),y_num]",0.01,0.01,0.01,0.01,-0.01,0.04,1.00,"2,299.44","2,742.89"
"r_ward[Partick.(West),y_num]",-0.02,-0.02,0.01,0.01,-0.04,0.01,1.00,"1,828.60","3,165.48"
"r_ward[Pollokshaws,y_num]",-0.02,-0.01,0.01,0.01,-0.04,0.00,1.00,"2,156.54","3,021.14"
"r_ward[Pollokshields,y_num]",0.00,0.00,0.01,0.01,-0.02,0.02,1.00,"3,369.23","3,046.82"
"r_ward[Provan,y_num]",-0.02,-0.02,0.02,0.01,-0.05,0.00,1.00,"1,170.41","2,079.07"
"r_ward[Ruchill,y_num]",-0.03,-0.02,0.01,0.01,-0.05,0.00,1.00,"1,132.38",625.05
"r_ward[Shettleston.and.Tollcross,y_num]",-0.01,-0.01,0.01,0.01,-0.03,0.01,1.00,"3,325.80","3,199.98"
"r_ward[Springburn,y_num]",-0.02,-0.02,0.02,0.02,-0.05,0.00,1.00,"1,140.17","1,739.58"
"r_ward[Townhead,y_num]",-0.02,-0.02,0.01,0.01,-0.05,0.00,1.00,"1,403.60","2,256.53"
"r_ward[Whiteinch,y_num]",0.00,0.00,0.01,0.01,-0.03,0.02,1.00,"3,204.33","3,069.38"
"r_ward[Woodside,y_num]",-0.01,0.00,0.01,0.01,-0.03,0.01,1.00,"2,935.03","2,920.87"
"r_ward[Yoker,y_num]",-0.01,0.00,0.01,0.01,-0.03,0.02,1.00,"2,259.25","2,808.64"
"r_ward[Anderston,acf_periodb.acf]",-0.04,-0.02,0.07,0.05,-0.19,0.05,1.00,"3,215.93","3,027.80"
"r_ward[Calton,acf_periodb.acf]",-0.04,-0.02,0.07,0.05,-0.18,0.06,1.00,"3,109.73","3,181.76"
"r_ward[Camphill,acf_periodb.acf]",0.06,0.04,0.10,0.07,-0.05,0.25,1.00,"2,272.45","2,912.19"
"r_ward[Cathcart,acf_periodb.acf]",0.04,0.02,0.08,0.05,-0.05,0.20,1.00,"2,647.37","3,033.21"
"r_ward[Cowcaddens,acf_periodb.acf]",-0.02,-0.01,0.07,0.04,-0.15,0.07,1.00,"3,891.16","3,269.97"
"r_ward[Cowlairs,acf_periodb.acf]",0.02,0.01,0.07,0.04,-0.07,0.15,1.00,"3,794.07","2,872.28"
"r_ward[Craigton,acf_periodb.acf]",0.03,0.02,0.07,0.05,-0.06,0.16,1.00,"3,524.59","3,317.78"
"r_ward[Dalmarnock,acf_periodb.acf]",0.00,0.00,0.06,0.04,-0.10,0.11,1.00,"4,970.57","3,122.91"
"r_ward[Dennistoun,acf_periodb.acf]",0.02,0.01,0.07,0.04,-0.07,0.15,1.00,"4,194.50","3,093.93"
"r_ward[Exchange,acf_periodb.acf]",-0.05,-0.03,0.09,0.06,-0.22,0.05,1.00,"2,486.49","3,032.99"
"r_ward[Fairfield,acf_periodb.acf]",0.00,0.00,0.07,0.04,-0.10,0.11,1.00,"3,858.50","3,355.12"
"r_ward[Gorbals,acf_periodb.acf]",-0.06,-0.03,0.09,0.06,-0.24,0.05,1.00,"2,392.92","3,158.13"
"r_ward[Govan,acf_periodb.acf]",-0.01,0.00,0.06,0.04,-0.11,0.09,1.00,"4,938.06","3,364.55"
"r_ward[Govanhill,acf_periodb.acf]",0.02,0.01,0.07,0.05,-0.07,0.16,1.00,"3,473.85","3,216.48"
"r_ward[Hutchesontown,acf_periodb.acf]",0.00,0.00,0.06,0.04,-0.10,0.10,1.00,"4,868.98","3,164.50"
"r_ward[Kelvinside,acf_periodb.acf]",0.05,0.03,0.09,0.06,-0.06,0.22,1.00,"2,502.62","3,145.98"
"r_ward[Kingston,acf_periodb.acf]",0.01,0.00,0.07,0.04,-0.09,0.13,1.00,"4,160.53","3,144.52"
"r_ward[Kinning.Park,acf_periodb.acf]",0.02,0.01,0.07,0.05,-0.08,0.14,1.00,"4,125.29","3,054.33"
"r_ward[Knightswood,acf_periodb.acf]",-0.02,-0.01,0.07,0.05,-0.14,0.09,1.00,"2,574.20","2,788.01"
"r_ward[Langside,acf_periodb.acf]",0.03,0.01,0.07,0.05,-0.08,0.17,1.00,"3,755.69","3,206.86"
"r_ward[Maryhill,acf_periodb.acf]",0.01,0.01,0.07,0.04,-0.09,0.13,1.00,"4,840.81","3,184.45"
"r_ward[Mile-End,acf_periodb.acf]",-0.02,-0.01,0.06,0.04,-0.13,0.08,1.00,"4,390.63","2,757.99"
"r_ward[North.Kelvin,acf_periodb.acf]",0.02,0.01,0.07,0.05,-0.08,0.15,1.00,"3,972.67","3,382.68"
"r_ward[Park,acf_periodb.acf]",-0.01,-0.01,0.07,0.04,-0.13,0.09,1.00,"4,695.25","2,886.32"
"r_ward[Parkhead,acf_periodb.acf]",0.00,0.00,0.06,0.04,-0.10,0.11,1.00,"5,567.13","3,104.28"
"r_ward[Partick.(East),acf_periodb.acf]",0.00,0.00,0.07,0.04,-0.11,0.12,1.00,"5,083.71","3,198.96"
"r_ward[Partick.(West),acf_periodb.acf]",0.02,0.01,0.07,0.05,-0.09,0.14,1.00,"4,526.72","3,233.92"
"r_ward[Pollokshaws,acf_periodb.acf]",-0.02,-0.01,0.06,0.04,-0.14,0.07,1.00,"4,771.05","3,188.56"
"r_ward[Pollokshields,acf_periodb.acf]",0.02,0.01,0.06,0.04,-0.08,0.13,1.00,"4,753.88","3,287.87"
"r_ward[Provan,acf_periodb.acf]",0.00,0.00,0.07,0.04,-0.11,0.11,1.00,"4,051.37","3,311.42"
"r_ward[Ruchill,acf_periodb.acf]",-0.02,-0.01,0.07,0.05,-0.15,0.08,1.00,"3,202.68","3,248.07"
