"","RR.peak","RR.level","RR.slope"
"RR.peak",0.0140919898943997,0.00714228154614806,-0.0264003708567346
"RR.level",0.00714228154614806,0.0300479632909294,0.0635245601022638
"RR.slope",-0.0264003708567346,0.0635245601022638,0.748154247076296
