variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
RR.peak,1.59233520406139,1.58734995960052,0.182378031699692,0.200524983521798,1.30593959508277,1.89170861007909,1.00360633007997,1052.24202832417,2781.94893109397
RR.level,0.505711312524216,0.508614551477536,0.0840352271273714,0.0856761405985364,0.366026207433942,0.638245906087271,1.00132728677215,861.884758180993,2383.37066188372
RR.slope,0.665397170080026,0.428126081561184,0.753057094630026,0.357987975949231,0.0674154475531503,2.08763309090708,1.00166453628305,1220.83987985558,2127.52276662025
